t,conf,cluster,regime
-1019,0.6439545819992067,2,0
-1040,0.6063689258917864,0,0
-1070,0.6076488179328012,1,0
-1090,0.6926642249116362,0,0
-1107,0.6197456075377821,0,0
-1108,0.6546171107820646,2,0
-1135,0.6300670303982674,2,0
-1170,0.7414285628522617,0,0
-1224,0.6106100136139366,0,0
-1286,0.6343798695991596,0,0
-1303,0.6048103329921186,2,0
-1323,0.6269597444290931,1,0
-1325,0.6480303740608275,0,0
-1359,0.6498701725821578,2,0
-1370,0.6080710972006065,0,0
-1470,0.6165001601109439,2,0
-1504,0.6911726699041574,0,0
-1623,0.6278280070038167,2,0
-1680,0.6494352055741555,0,0
-1749,0.6051977950146659,1,0
-1814,0.6610892988301442,2,0
-1826,0.6353526941679144,2,0
-1835,0.6154025300142685,0,0
-1838,0.6344776437023436,0,0
-1872,0.6248416983299394,2,0
-1874,0.6111903673935384,2,0
-1934,0.6578273027444415,2,0
-1959,0.6202512665172026,1,0
-1985,0.6171292461139621,1,0
-1986,0.6806276911507372,1,0
-3091,0.6893103845766478,1,0
-3110,0.6104325452288644,2,0
-3129,0.6118491369307996,0,0
-3159,0.6440268328509139,0,0
-3204,0.6185115388256461,2,0
-3491,0.6440874120487163,2,0
-3615,0.6214960591310481,2,0
-3733,0.7049567928542022,2,0
-3754,0.6058940095469245,0,0
-3784,0.7369306431791673,1,0
